Column1,Emp_Id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary,Status,Satisfaction
2106,IND30695,86%,0.79,3,242,2,,0,,support,low,Stayed,0.86
2107,IND34434,59%,0.88,4,155,3,1,0,,support,low,Stayed,0.59
2108,IND07408,74%,0.76,5,104,4,,0,,support,low,Stayed,0.74
2109,IND42398,98%,0.92,4,201,3,1,0,,support,low,Stayed,0.98
2110,IND03508,93%,0.75,5,143,3,,0,,support,low,Stayed,0.93
2111,IND12643,100%,0.92,5,161,3,1,0,,support,low,Stayed,1
2112,IND08133,59%,0.81,4,200,2,,0,,support,low,Stayed,0.59
2113,IND20016,98%,0.55,4,255,2,,0,,support,low,Stayed,0.98
2114,IND11402,35%,0.5,5,227,2,,0,,support,low,Stayed,0.35
2115,IND09782,42%,0.96,3,270,6,,0,,support,low,Stayed,0.42
2116,IND38754,61%,0.85,5,230,3,,0,,support,low,Stayed,0.61
2117,IND44087,78%,0.72,5,270,3,1,0,,technical,low,Stayed,0.78
2118,IND13236,93%,0.52,4,200,3,,0,,technical,low,Stayed,0.93
2119,IND37551,50%,0.95,5,207,3,,0,,technical,low,Stayed,0.5
2120,IND19599,67%,0.51,5,182,3,,0,,management,low,Stayed,0.67
2121,IND26398,75%,0.85,4,234,3,,0,,IT,low,Stayed,0.75
2122,IND40102,79%,0.51,4,237,2,,0,,IT,low,Stayed,0.79
2123,IND10193,84%,0.89,4,187,2,1,0,,IT,low,Stayed,0.84
2124,IND20699,72%,0.5,3,257,6,,0,,IT,low,Stayed,0.72
2125,IND29335,57%,0.48,2,194,2,,0,,IT,low,Stayed,0.57
2126,IND37030,73%,0.52,4,162,3,,0,,product_mng,low,Stayed,0.73
2127,IND37903,74%,0.58,4,148,2,,0,,product_mng,medium,Stayed,0.74
2128,IND02470,52%,0.83,4,210,2,,0,,product_mng,medium,Stayed,0.52
2129,IND25056,56%,0.76,3,213,2,1,0,,product_mng,medium,Stayed,0.56
2130,IND29886,76%,0.68,4,189,2,1,0,,IT,medium,Stayed,0.76
2131,IND29838,82%,0.93,4,185,2,,0,,RandD,medium,Stayed,0.82
2132,IND31542,76%,0.83,3,186,2,1,0,,RandD,medium,Stayed,0.76
2133,IND01604,62%,0.59,3,128,3,,0,,RandD,medium,Stayed,0.62
2134,IND33364,48%,0.8,4,268,3,,0,,RandD,medium,Stayed,0.48
2135,IND21925,64%,0.77,3,213,3,1,0,,RandD,medium,Stayed,0.64
2136,IND08799,74%,0.82,4,142,2,,0,,marketing,medium,Stayed,0.74
2137,IND17092,52%,0.43,2,199,2,,0,,sales,medium,Stayed,0.52
2138,IND17659,67%,0.5,4,157,2,,0,,accounting,medium,Stayed,0.67
2139,IND39154,71%,0.76,5,172,2,1,0,,support,high,Stayed,0.71
2140,IND44782,72%,0.63,3,176,3,1,0,,technical,low,Stayed,0.72
2141,IND02478,33%,0.58,2,183,2,,0,,management,medium,Stayed,0.33
2142,IND27787,91%,0.56,4,270,2,,0,,marketing,medium,Stayed,0.91
2143,IND20882,88%,0.68,5,157,4,1,0,,marketing,medium,Stayed,0.88
2144,IND35940,96%,0.6,4,185,3,,0,,marketing,medium,Stayed,0.96
2145,IND04894,97%,0.68,3,167,3,,0,,sales,low,Stayed,0.97
2146,IND12392,27%,0.59,5,226,5,,0,,sales,low,Stayed,0.27
2147,IND12982,65%,0.64,3,223,4,,0,,sales,low,Stayed,0.65
2148,IND0771,68%,0.73,3,257,3,,0,,sales,low,Stayed,0.68
2149,IND10676,68%,0.46,4,143,3,,0,,sales,low,Stayed,0.68
2150,IND30021,69%,0.74,3,215,2,,0,,sales,low,Stayed,0.69
2151,IND16263,79%,0.99,3,194,4,,0,,sales,low,Stayed,0.79
2152,IND18469,74%,0.92,5,193,3,,0,,sales,low,Stayed,0.74
2153,IND10523,80%,0.83,3,163,3,,0,,sales,low,Stayed,0.8
2154,IND11652,38%,0.94,5,252,5,,0,,sales,low,Stayed,0.38
2155,IND37874,26%,0.83,3,168,3,,0,,sales,low,Stayed,0.26
2156,IND05902,81%,0.86,3,231,3,,0,,sales,low,Stayed,0.81
2157,IND08104,67%,0.54,2,141,2,,0,,sales,low,Stayed,0.67
2158,IND22361,55%,0.81,4,260,2,,0,,sales,low,Stayed,0.55
2159,IND04123,87%,0.71,3,132,2,,0,,sales,low,Stayed,0.87
2160,IND0235,46%,0.69,2,159,2,,0,,sales,low,Stayed,0.46
2161,IND01720,63%,0.57,4,177,3,1,0,,sales,low,Stayed,0.63
2162,IND13298,54%,0.96,4,248,3,,0,,sales,low,Stayed,0.54
2163,IND20063,100%,0.49,3,185,2,,0,,sales,low,Stayed,1
2164,IND29805,97%,0.66,4,149,2,,0,,accounting,low,Stayed,0.97
2165,IND39093,90%,0.92,3,152,3,,0,,accounting,low,Stayed,0.9
2166,IND40220,75%,0.7,3,129,3,,0,,accounting,medium,Stayed,0.75
2167,IND05677,92%,0.84,4,208,2,,0,,hr,medium,Stayed,0.92
2168,IND27183,80%,0.94,4,136,2,,0,,hr,medium,Stayed,0.8
2169,IND02695,57%,0.81,3,142,2,,0,,hr,medium,Stayed,0.57
2170,IND04018,81%,0.94,3,225,4,,0,,hr,medium,Stayed,0.81
2171,IND26441,64%,0.6,3,143,3,,0,,technical,medium,Stayed,0.64
2172,IND32924,71%,0.54,4,215,3,,0,,technical,medium,Stayed,0.71
2173,IND23546,35%,0.58,3,229,6,1,0,,technical,medium,Stayed,0.35
2174,IND37634,88%,0.81,5,193,5,,0,,technical,medium,Stayed,0.88
2175,IND38996,13%,0.59,5,160,5,,0,,technical,medium,Stayed,0.13
2176,IND23826,82%,0.73,4,195,5,1,0,,technical,medium,Stayed,0.82
2177,IND44546,17%,0.92,4,189,2,,0,,technical,medium,Stayed,0.17
2178,IND28192,21%,0.82,4,207,5,,0,,technical,high,Stayed,0.21
2179,IND31187,89%,0.47,4,108,3,,0,,technical,low,Stayed,0.89
2180,IND36272,20%,0.72,6,224,4,,0,,technical,medium,Stayed,0.2
2181,IND31670,99%,0.81,5,180,3,1,0,,technical,medium,Stayed,0.99
2182,IND44858,26%,0.85,6,152,4,,0,,support,medium,Stayed,0.26
2183,IND25823,22%,0.53,4,244,2,,0,,support,medium,Stayed,0.22
2184,IND35285,79%,0.84,3,176,3,,0,,support,low,Stayed,0.79
2185,IND26543,73%,0.79,4,145,2,1,0,,support,low,Stayed,0.73
2186,IND12998,83%,0.54,3,149,3,,0,,support,low,Stayed,0.83
2187,IND22954,42%,0.54,3,122,4,,0,,support,low,Stayed,0.42
2188,IND43946,18%,0.8,2,110,5,,0,,support,low,Stayed,0.18
2189,IND04348,92%,0.91,4,222,2,,0,,support,low,Stayed,0.92
2190,IND16500,87%,0.52,3,237,3,,0,,support,low,Stayed,0.87
2191,IND29177,72%,0.65,4,224,3,,0,,support,low,Stayed,0.72
2192,IND32667,64%,0.58,5,115,5,,0,,support,low,Stayed,0.64
2193,IND13263,100%,0.66,4,180,3,,0,,technical,low,Stayed,1
2194,IND36434,83%,0.65,4,162,3,,0,,technical,low,Stayed,0.83
2195,IND24739,98%,0.58,4,136,3,,0,,technical,low,Stayed,0.98
2196,IND11229,70%,0.87,3,260,2,,0,,management,low,Stayed,0.7
2197,IND37191,90%,0.79,4,150,2,,0,,IT,low,Stayed,0.9
2198,IND16871,55%,0.99,4,248,3,,0,,IT,low,Stayed,0.55
2199,IND23615,78%,0.84,3,233,3,1,0,,IT,low,Stayed,0.78
2200,IND26737,89%,0.53,5,272,3,,0,,IT,low,Stayed,0.89
2201,IND27455,17%,0.59,3,197,5,,0,,IT,low,Stayed,0.17
2202,IND03845,14%,0.64,5,164,5,,0,,product_mng,low,Stayed,0.14
2203,IND14440,85%,0.57,4,216,2,,0,,product_mng,low,Stayed,0.85
2204,IND20216,84%,0.79,4,266,3,1,0,,product_mng,low,Stayed,0.84
2205,IND11170,70%,0.69,3,102,4,1,0,,product_mng,medium,Stayed,0.7
2206,IND21049,16%,0.98,5,284,5,,0,,IT,medium,Stayed,0.16
2207,IND25726,51%,0.69,3,145,2,1,0,,RandD,medium,Stayed,0.51
2208,IND34004,60%,0.89,3,167,4,,0,,RandD,medium,Stayed,0.6
2209,IND17558,50%,0.63,3,172,2,,0,,RandD,medium,Stayed,0.5
2210,IND33913,43%,0.39,5,198,5,,0,,RandD,medium,Stayed,0.43
2211,IND42652,50%,0.7,4,201,4,,0,,RandD,medium,Stayed,0.5
2212,IND01707,91%,0.89,4,197,4,,0,,marketing,medium,Stayed,0.91
2213,IND13595,65%,0.93,4,270,2,,0,,sales,medium,Stayed,0.65
2214,IND01974,59%,0.52,2,149,3,,0,,accounting,medium,Stayed,0.59
2215,IND14348,89%,0.56,3,256,3,,0,,support,medium,Stayed,0.89
2216,IND19905,97%,0.6,3,162,3,,0,,technical,medium,Stayed,0.97
2217,IND36277,56%,0.97,5,163,2,,0,,management,high,Stayed,0.56
2218,IND14913,76%,0.93,3,266,3,1,0,,marketing,low,Stayed,0.76
2219,IND38507,28%,0.55,4,208,4,,0,,marketing,medium,Stayed,0.28
2220,IND17003,75%,0.51,4,138,4,,0,,marketing,medium,Stayed,0.75
2221,IND20456,78%,0.81,4,232,3,,0,,sales,medium,Stayed,0.78
2222,IND04458,26%,0.63,6,100,4,,0,,sales,medium,Stayed,0.26
2223,IND06092,53%,0.72,2,172,5,,0,,sales,low,Stayed,0.53
2224,IND12294,25%,0.41,3,133,6,1,0,,sales,low,Stayed,0.25
2225,IND12391,82%,0.51,3,234,3,,0,,sales,low,Stayed,0.82
2226,IND31270,71%,0.57,2,183,4,,0,,sales,low,Stayed,0.71
2227,IND38915,61%,0.95,4,174,4,,0,,sales,low,Stayed,0.61
2228,IND01601,89%,0.68,3,175,2,,0,,sales,low,Stayed,0.89
2229,IND01348,57%,0.78,3,109,3,1,0,,sales,low,Stayed,0.57
2230,IND05350,93%,0.8,4,248,3,,0,,sales,low,Stayed,0.93
2231,IND10377,61%,0.84,5,104,4,,0,,sales,low,Stayed,0.61
2232,IND16366,56%,0.62,3,154,2,,0,,sales,low,Stayed,0.56
2233,IND43584,70%,0.89,6,214,2,,0,,sales,low,Stayed,0.7
2234,IND14300,90%,0.64,4,209,4,,0,,sales,low,Stayed,0.9
2235,IND10019,15%,0.74,6,212,2,,0,,sales,low,Stayed,0.15
2236,IND029,39%,0.36,3,168,3,1,0,,sales,low,Stayed,0.39
2237,IND16428,74%,0.72,4,176,3,,0,,sales,low,Stayed,0.74
2238,IND34194,70%,0.61,4,163,4,1,0,,sales,low,Stayed,0.7
2239,IND03102,72%,0.93,4,148,2,,0,,sales,low,Stayed,0.72
2240,IND13282,61%,0.97,3,137,3,,0,,accounting,low,Stayed,0.61
2241,IND14600,96%,1,5,162,3,,0,,accounting,low,Stayed,0.96
2242,IND37065,70%,0.59,4,216,3,,0,,accounting,low,Stayed,0.7
2243,IND05039,92%,0.49,3,240,2,,0,,hr,low,Stayed,0.92
2244,IND27167,72%,0.56,4,176,2,,0,,hr,medium,Stayed,0.72
2245,IND01564,53%,0.75,6,192,6,,0,,hr,medium,Stayed,0.53
2246,IND45016,67%,0.85,3,160,4,,0,,hr,medium,Stayed,0.67
2247,IND14353,78%,0.8,4,194,2,1,0,,technical,medium,Stayed,0.78
2248,IND34895,53%,0.75,4,239,2,1,0,,technical,medium,Stayed,0.53
2249,IND44575,90%,0.48,4,204,3,,0,,technical,medium,Stayed,0.9
2250,IND02751,16%,0.9,5,258,3,,0,,technical,medium,Stayed,0.16
2251,IND26432,62%,0.38,3,257,3,,0,,technical,medium,Stayed,0.62
2252,IND36254,62%,0.98,4,137,3,,0,,technical,medium,Stayed,0.62
2253,IND01241,22%,0.52,6,175,4,,0,,technical,medium,Stayed,0.22
2254,IND17140,91%,0.82,3,183,3,,0,,technical,medium,Stayed,0.91
2255,IND27293,87%,0.74,4,190,4,,0,,technical,medium,Stayed,0.87
2256,IND14438,95%,0.69,3,225,2,,0,,technical,high,Stayed,0.95
2257,IND05658,99%,0.75,3,215,3,,0,,technical,low,Stayed,0.99
2258,IND31848,99%,0.57,3,176,4,1,0,,support,medium,Stayed,0.99
2259,IND36697,77%,0.99,4,153,3,1,0,,support,medium,Stayed,0.77
2260,IND28926,75%,0.68,3,150,2,1,0,,support,medium,Stayed,0.75
2261,IND39162,83%,0.54,4,259,5,,0,,support,medium,Stayed,0.83
2262,IND01367,61%,0.39,3,99,2,,0,,support,low,Stayed,0.61
2263,IND06882,91%,0.97,3,167,2,,0,,support,low,Stayed,0.91
2264,IND26652,47%,0.64,3,192,3,,0,,support,low,Stayed,0.47
2265,IND14093,77%,0.61,5,146,3,,0,,support,low,Stayed,0.77
2266,IND04655,55%,0.51,3,190,3,,0,,support,low,Stayed,0.55
2267,IND04553,32%,0.48,5,246,3,,0,,support,low,Stayed,0.32
2268,IND14391,96%,0.67,6,190,3,,0,,support,low,Stayed,0.96
2269,IND35863,72%,0.79,5,260,2,,0,,technical,low,Stayed,0.72
2270,IND01127,80%,0.9,4,136,3,,0,,technical,low,Stayed,0.8
2271,IND26032,61%,0.55,4,231,3,,0,,technical,low,Stayed,0.61
2272,IND29868,97%,0.88,3,204,2,,0,,management,low,Stayed,0.97
2273,IND03920,63%,0.93,4,201,3,,0,,IT,low,Stayed,0.63
2274,IND05087,92%,0.92,3,159,3,,0,,IT,low,Stayed,0.92
2275,IND13992,94%,0.74,5,171,3,,0,,IT,low,Stayed,0.94
2276,IND30214,79%,0.72,6,240,4,,0,,IT,low,Stayed,0.79
2277,IND37389,75%,0.73,2,152,4,,0,,IT,low,Stayed,0.75
2278,IND05987,78%,0.99,3,151,3,1,0,,product_mng,low,Stayed,0.78
2279,IND31201,96%,0.45,6,232,2,1,0,,product_mng,low,Stayed,0.96
2280,IND39735,65%,0.68,4,128,5,,0,,product_mng,low,Stayed,0.65
2281,IND26162,18%,0.94,3,187,6,1,0,,product_mng,low,Stayed,0.18
2282,IND37693,94%,0.51,3,160,2,,0,,IT,low,Stayed,0.94
2283,IND40474,84%,0.79,4,259,3,,0,,RandD,medium,Stayed,0.84
2284,IND16164,67%,0.54,2,136,2,,0,,RandD,medium,Stayed,0.67
2285,IND20364,71%,0.5,4,253,3,,0,,RandD,medium,Stayed,0.71
2286,IND28731,56%,0.64,3,260,3,,0,,RandD,medium,Stayed,0.56
2287,IND34013,29%,0.56,5,231,6,,0,,RandD,medium,Stayed,0.29
2288,IND03211,47%,0.9,3,101,2,1,0,,marketing,medium,Stayed,0.47
2289,IND04452,40%,0.69,2,174,3,,0,,sales,medium,Stayed,0.4
2290,IND08279,81%,0.82,4,167,2,,0,,accounting,medium,Stayed,0.81
2291,IND28049,96%,0.99,3,148,3,,0,,support,medium,Stayed,0.96
2292,IND19588,99%,0.75,6,139,5,1,0,,technical,medium,Stayed,0.99
2293,IND35943,75%,0.77,4,136,3,,0,,management,medium,Stayed,0.75
2294,IND39400,75%,0.74,4,153,2,,0,,marketing,medium,Stayed,0.75
2295,IND39981,100%,0.86,4,161,2,,0,,marketing,high,Stayed,1
2296,IND44347,52%,0.53,2,163,2,,0,,marketing,low,Stayed,0.52
2297,IND03432,98%,0.74,3,164,3,,0,,sales,medium,Stayed,0.98
2298,IND09618,60%,0.64,2,137,5,,0,,sales,medium,Stayed,0.6
2299,IND39087,38%,0.44,3,137,3,,0,,sales,medium,Stayed,0.38
2300,IND39379,51%,0.41,6,106,5,,0,,sales,medium,Stayed,0.51
2301,IND16225,91%,0.61,2,272,2,,0,,sales,low,Stayed,0.91
2302,IND21202,56%,0.62,5,238,3,,0,,sales,low,Stayed,0.56
2303,IND30821,58%,0.69,4,223,4,,0,,sales,low,Stayed,0.58
2304,IND32171,51%,0.53,3,201,2,,0,,sales,low,Stayed,0.51
2305,IND04701,91%,0.55,6,97,4,,0,,sales,low,Stayed,0.91
2306,IND35643,80%,0.98,2,232,6,1,0,,sales,low,Stayed,0.8
2307,IND13827,55%,0.83,4,199,3,,0,,sales,low,Stayed,0.55
2308,IND14529,62%,0.53,3,141,3,,0,,sales,low,Stayed,0.62
2309,IND24952,62%,0.6,3,171,2,,0,,sales,low,Stayed,0.62
2310,IND43019,87%,0.58,4,212,3,,0,,sales,low,Stayed,0.87
2311,IND44635,65%,0.5,5,270,2,,0,,sales,low,Stayed,0.65
2312,IND10083,51%,0.64,3,267,2,,0,,sales,low,Stayed,0.51
2313,IND10435,98%,0.77,3,134,2,1,0,,sales,low,Stayed,0.98
2314,IND31347,13%,0.43,4,165,5,,0,,sales,low,Stayed,0.13
2315,IND42244,78%,0.76,5,168,4,1,0,,sales,low,Stayed,0.78
2316,IND43113,60%,0.98,3,262,2,,0,,accounting,low,Stayed,0.6
2317,IND20799,68%,0.69,3,185,2,,0,,accounting,low,Stayed,0.68
2318,IND20147,55%,0.84,3,237,3,,0,,accounting,low,Stayed,0.55
2319,IND22011,99%,0.79,4,192,3,,0,,hr,low,Stayed,0.99
2320,IND31372,92%,0.68,5,236,2,,0,,hr,low,Stayed,0.92
2321,IND31661,100%,0.65,4,202,4,1,0,,hr,low,Stayed,1
2322,IND41202,77%,0.93,4,171,2,,0,,hr,medium,Stayed,0.77
2323,IND33793,86%,0.7,5,160,3,,0,,technical,medium,Stayed,0.86
2324,IND0830,89%,0.84,2,252,3,,0,,technical,medium,Stayed,0.89
2325,IND06259,58%,0.55,5,206,3,,0,,technical,medium,Stayed,0.58
2326,IND22272,56%,0.66,3,212,2,,0,,technical,medium,Stayed,0.56
2327,IND23581,38%,0.64,3,111,3,,0,,technical,medium,Stayed,0.38
2328,IND27451,62%,0.64,3,240,2,,0,,technical,medium,Stayed,0.62
2329,IND20421,66%,0.77,2,171,2,,0,,technical,medium,Stayed,0.66
2330,IND33154,30%,0.44,3,129,2,,0,,technical,medium,Stayed,0.3
2331,IND08899,82%,0.83,3,271,2,,0,,technical,medium,Stayed,0.82
2332,IND18567,96%,0.68,4,162,2,,0,,technical,medium,Stayed,0.96
2333,IND27594,66%,0.95,3,191,3,,0,,technical,medium,Stayed,0.66
2334,IND33266,79%,0.5,5,176,3,,0,,support,high,Stayed,0.79
2335,IND05836,97%,0.77,3,182,2,1,0,,support,low,Stayed,0.97
2336,IND08177,59%,0.65,3,226,3,,0,,support,medium,Stayed,0.59
2337,IND30644,57%,0.48,4,161,3,,0,,support,medium,Stayed,0.57
2338,IND0627,64%,0.53,4,163,3,,0,,support,medium,Stayed,0.64
2339,IND38634,14%,0.51,5,173,4,,0,,support,medium,Stayed,0.14
2340,IND01794,48%,0.55,3,228,2,,0,,support,low,Stayed,0.48
2341,IND19725,78%,1,3,139,3,,0,,support,low,Stayed,0.78
2342,IND11537,96%,0.62,5,128,5,,0,,support,low,Stayed,0.96
2343,IND16462,82%,0.97,3,115,2,1,0,,support,low,Stayed,0.82
2344,IND44868,94%,0.9,5,191,4,,0,,support,low,Stayed,0.94
2345,IND21209,95%,0.66,4,183,3,,0,,technical,low,Stayed,0.95
2346,IND26134,59%,0.43,3,173,3,,0,,technical,low,Stayed,0.59
2347,IND39531,69%,0.89,4,174,2,,0,,technical,low,Stayed,0.69
2348,IND34159,74%,0.72,3,213,3,,0,,management,low,Stayed,0.74
2349,IND29203,67%,0.67,4,192,4,,0,,IT,low,Stayed,0.67
2350,IND41131,83%,0.52,3,167,2,1,0,,IT,low,Stayed,0.83
2351,IND06046,81%,0.85,3,263,3,1,0,,IT,low,Stayed,0.81
2352,IND16498,54%,0.73,2,100,3,,0,,IT,low,Stayed,0.54
2353,IND01030,89%,0.83,3,164,3,,0,,IT,low,Stayed,0.89
2354,IND12286,79%,0.74,5,172,2,,0,,product_mng,low,Stayed,0.79
2355,IND32694,46%,0.58,4,171,3,,0,,product_mng,low,Stayed,0.46
2356,IND18545,99%,0.93,4,236,3,,0,,product_mng,low,Stayed,0.99
2357,IND36909,75%,0.9,5,186,4,,0,,product_mng,low,Stayed,0.75
2358,IND40480,93%,0.82,4,175,3,,0,,IT,low,Stayed,0.93
2359,IND30203,65%,0.6,5,227,3,,0,,RandD,low,Stayed,0.65
2360,IND23088,19%,0.63,4,142,6,,0,,RandD,low,Stayed,0.19
2361,IND02190,48%,0.61,2,121,2,,0,,RandD,medium,Stayed,0.48
2362,IND05221,95%,0.64,5,234,3,,0,,RandD,medium,Stayed,0.95
2363,IND0803,92%,0.77,4,185,3,,0,,RandD,medium,Stayed,0.92
2364,IND29964,84%,0.54,4,160,3,,0,,marketing,medium,Stayed,0.84
2365,IND30168,37%,0.63,4,153,3,1,0,,sales,medium,Stayed,0.37
2366,IND02646,22%,0.74,3,199,6,,0,,accounting,medium,Stayed,0.22
2367,IND17265,64%,0.54,3,166,2,,0,,support,medium,Stayed,0.64
2368,IND26907,72%,0.88,2,247,3,,0,,technical,medium,Stayed,0.72
2369,IND44999,48%,0.69,4,245,3,,0,,management,medium,Stayed,0.48
2370,IND18747,12%,0.55,5,242,4,,0,,marketing,medium,Stayed,0.12
2371,IND37102,78%,0.98,5,158,2,,0,,marketing,medium,Stayed,0.78
2372,IND08931,71%,0.74,3,163,3,1,0,,marketing,medium,Stayed,0.71
2373,IND22225,38%,0.69,3,99,3,1,0,,sales,high,Stayed,0.38
2374,IND37930,57%,0.85,4,164,3,,0,,sales,low,Stayed,0.57
2375,IND08708,72%,0.51,3,160,3,,0,,sales,medium,Stayed,0.72
2376,IND28577,60%,0.57,2,184,3,,0,,sales,medium,Stayed,0.6
2377,IND41924,61%,0.55,5,266,2,,0,,sales,medium,Stayed,0.61
2378,IND02407,67%,0.64,4,190,2,,0,,sales,medium,Stayed,0.67
2379,IND08636,97%,0.97,5,192,2,,0,,sales,low,Stayed,0.97
2380,IND21766,22%,0.6,3,205,6,1,0,,sales,low,Stayed,0.22
2381,IND39307,15%,0.53,4,205,5,1,0,,sales,low,Stayed,0.15
2382,IND41497,60%,0.6,3,258,3,,0,,sales,low,Stayed,0.6
2383,IND43590,15%,0.8,5,151,2,1,0,,sales,low,Stayed,0.15
2384,IND10819,50%,0.81,3,148,2,,0,,sales,low,Stayed,0.5
2385,IND32043,90%,0.67,3,179,2,,0,,sales,low,Stayed,0.9
2386,IND05233,84%,0.51,6,141,2,1,0,,sales,low,Stayed,0.84
2387,IND02193,74%,0.78,5,216,2,,0,,sales,low,Stayed,0.74
2388,IND44975,72%,0.51,3,235,2,,0,,sales,low,Stayed,0.72
2389,IND32541,93%,0.63,3,160,4,1,0,,sales,low,Stayed,0.93
2390,IND02866,54%,0.69,3,141,4,,0,,sales,low,Stayed,0.54
2391,IND07290,87%,0.65,4,246,2,1,0,,sales,low,Stayed,0.87
2392,IND26951,19%,0.98,5,226,4,1,0,,accounting,low,Stayed,0.19
2393,IND14244,33%,0.4,4,212,2,1,0,,accounting,low,Stayed,0.33
2394,IND15252,94%,0.93,4,220,3,,0,,accounting,low,Stayed,0.94
2395,IND11374,77%,0.49,4,266,2,,0,,hr,low,Stayed,0.77
2396,IND21565,48%,0.82,3,183,2,,0,,hr,low,Stayed,0.48
2397,IND22035,70%,0.74,5,263,3,1,0,,hr,low,Stayed,0.7
2398,IND31148,54%,0.93,4,161,4,1,0,,hr,low,Stayed,0.54
2399,IND32024,61%,0.98,4,199,2,,0,,technical,low,Stayed,0.61
2400,IND36220,97%,0.4,4,258,4,1,0,,technical,medium,Stayed,0.97
2401,IND18344,60%,0.85,3,209,2,1,0,,technical,medium,Stayed,0.6
2402,IND16976,93%,0.84,5,135,3,,0,,technical,medium,Stayed,0.93
2403,IND30316,48%,0.69,4,222,2,,0,,technical,medium,Stayed,0.48
2404,IND24569,16%,0.76,5,192,3,,0,,technical,medium,Stayed,0.16
2405,IND43508,18%,0.75,3,250,3,,0,,technical,medium,Stayed,0.18
2406,IND33989,84%,0.75,3,187,3,1,0,,technical,medium,Stayed,0.84
2407,IND04762,69%,0.63,4,217,3,,0,,technical,medium,Stayed,0.69
2408,IND04572,22%,0.88,4,213,3,1,0,,technical,medium,Stayed,0.22
2409,IND38073,83%,0.52,4,273,3,,0,,technical,medium,Stayed,0.83
2410,IND43730,58%,0.5,2,132,3,,0,,support,medium,Stayed,0.58
2411,IND05821,61%,0.62,4,140,3,1,0,,support,medium,Stayed,0.61
2412,IND15278,67%,0.5,4,173,2,1,0,,support,high,Stayed,0.67
2413,IND14041,56%,0.76,4,189,2,,0,,support,low,Stayed,0.56
2414,IND24816,74%,0.74,3,156,3,,0,,support,medium,Stayed,0.74
2415,IND29020,92%,0.97,4,238,5,1,0,,support,medium,Stayed,0.92
2416,IND29572,81%,0.68,5,230,2,,0,,support,medium,Stayed,0.81
2417,IND23803,48%,0.49,4,242,2,1,0,,support,medium,Stayed,0.48
2418,IND42035,73%,0.72,4,197,3,,0,,support,low,Stayed,0.73
2419,IND06012,97%,0.66,6,164,5,,0,,support,low,Stayed,0.97
2420,IND23680,15%,0.51,6,248,5,,0,,support,low,Stayed,0.15
2421,IND24428,69%,0.76,5,255,6,,0,,technical,low,Stayed,0.69
2422,IND18327,61%,0.68,5,225,4,,0,,technical,low,Stayed,0.61
2423,IND08856,86%,0.58,3,151,2,,0,,technical,low,Stayed,0.86
2424,IND17508,55%,0.88,4,252,3,,0,,management,low,Stayed,0.55
2425,IND01089,90%,0.74,4,206,4,1,0,,IT,low,Stayed,0.9
2426,IND09918,65%,0.4,2,141,2,,0,,IT,low,Stayed,0.65
2427,IND27934,81%,0.92,5,259,3,,0,,IT,low,Stayed,0.81
2428,IND36099,65%,0.86,5,250,3,,0,,IT,low,Stayed,0.65
2429,IND28658,47%,0.86,4,169,6,,0,,IT,low,Stayed,0.47
2430,IND38284,93%,0.53,3,200,3,1,0,,product_mng,low,Stayed,0.93
2431,IND02587,77%,0.9,4,104,5,,0,,product_mng,low,Stayed,0.77
2432,IND25511,87%,0.82,6,176,3,,0,,product_mng,low,Stayed,0.87
2433,IND36390,87%,0.84,5,137,2,,0,,product_mng,low,Stayed,0.87
2434,IND35779,65%,0.75,2,151,3,,0,,IT,low,Stayed,0.65
2435,IND09511,21%,0.7,6,130,6,1,0,,RandD,low,Stayed,0.21
2436,IND13585,75%,0.59,4,199,2,,0,,RandD,low,Stayed,0.75
2437,IND10275,72%,0.86,4,191,2,,0,,RandD,low,Stayed,0.72
2438,IND33434,88%,0.63,3,273,3,1,0,,RandD,low,Stayed,0.88
2439,IND09734,66%,0.58,3,205,3,,0,,RandD,medium,Stayed,0.66
2440,IND13204,80%,0.75,3,181,3,,0,,marketing,medium,Stayed,0.8
2441,IND26029,22%,0.55,4,261,3,1,0,,sales,medium,Stayed,0.22
2442,IND38570,92%,0.69,3,192,3,,0,,accounting,medium,Stayed,0.92
2443,IND13961,54%,0.77,4,271,3,,0,,support,medium,Stayed,0.54
2444,IND32244,91%,0.56,4,158,3,,0,,technical,medium,Stayed,0.91
2445,IND33867,77%,0.83,4,231,2,,0,,management,medium,Stayed,0.77
2446,IND37587,61%,0.51,3,156,3,1,0,,marketing,medium,Stayed,0.61
2447,IND14647,48%,0.9,4,201,4,,0,,marketing,medium,Stayed,0.48
2448,IND25399,25%,0.69,3,187,4,,0,,marketing,medium,Stayed,0.25
2449,IND28579,91%,0.7,3,132,4,,0,,sales,medium,Stayed,0.91
2450,IND14510,72%,0.58,5,147,3,1,0,,sales,medium,Stayed,0.72
2451,IND42962,77%,0.71,4,223,3,,0,,sales,high,Stayed,0.77
2452,IND17989,41%,0.4,2,194,2,,0,,sales,low,Stayed,0.41
2453,IND23728,51%,0.49,4,234,2,,0,,sales,medium,Stayed,0.51
2454,IND36579,72%,0.79,3,149,3,,0,,sales,medium,Stayed,0.72
2455,IND04306,47%,0.57,3,162,3,1,0,,sales,medium,Stayed,0.47
